"FUA","month","days","monthlyE","dailyE","meanDailyE","sdDailyE","cvDailyE"
"DK004L1","Sep","30","261459.640739276","9168.34912503727","0.0182608427094594","9.18774247431102","50313.9018307825"
"DK004L1","Oct","31","277514.797002645","9406.90625426012","0.0187359832341655","9.39155598028367","50125.7706249328"
"DK004L1","Nov","30","278839.71889292","9766.03223148864","0.019451263912684","9.74881883560527","50119.2050005972"
"DK004L1","Dec","31","296635.609557685","10043.2407287434","0.0200033873862842","10.0287671665869","50135.3444440284"
"EE001L1","Jan","31","107741.034582216","3530.62382892698","0.0223865262562581","7.48694105154259","33443.9607370958"
"EE001L1","Feb","29","108313.33928861","3794.77440045424","0.0240614182843045","8.03394626687395","33389.3296394526"
"EE001L1","Mar","31","104661.515028237","3427.71647953965","0.0217340245481615","7.31193471725367","33642.8014105293"
"EE001L1","Apr","30","102032.40171909","3449.9391100145","0.0218749309501782","7.42688616275143","33951.5867714816"
"EE001L1","May","31","100487.264966858","3288.32389937745","0.0208501819733276","7.07377645907728","33926.689311999"
"EE001L1","Jun","30","99569.2229623281","3365.99550492721","0.0213426721170692","7.26088164575166","34020.4900582465"
"EE001L1","Jul","31","98069.1965842378","3208.06098967049","0.0203412612208994","6.92649945039236","34051.474857792"
"EE001L1","Aug","31","101703.315726203","3330.02977023272","0.0211146252043771","7.12116945408732","33726.2413382127"
"EE001L1","Sep","30","101435.409490057","3430.12685273088","0.02174930793301","7.37590846650484","33913.3019276906"
"EE001L1","Oct","31","106863.657572806","3499.30040176603","0.0221879146911207","7.47640569069307","33695.8465668026"
"EE001L1","Nov","30","105517.319695575","3571.2132802018","0.0226438906373757","7.61199456879013","33616.1072789579"
"EE001L1","Dec","31","112714.911544238","3696.10258898815","0.0234357727312325","7.78474307581958","33217.3518027206"
"EE002L1","Jan","31","18396.3711491716","612.225038457736","0.00474537874245426","1.70447636113392","35918.6579963559"
"EE002L1","Feb","29","18685.195374724","664.72235327882","0.00515228735634477","1.85063247392899","35918.6579849829"
"EE002L1","Mar","31","17204.8086408374","572.57025302472","0.00443801304518638","1.59407472797349","35918.6580062553"
"EE002L1","Apr","30","15783.5654664358","542.780824011381","0.00420711408759742","1.51113892167307","35918.6580208964"
"EE002L1","May","31","15622.0976807654","519.89819417039","0.00402974998388086","1.44743211690269","35918.658048079"
"EE002L1","Jun","30","15189.8008012494","522.361878124626","0.0040488460886302","1.4542911818346","35918.6580571308"
"EE002L1","Jul","31","14867.0185706002","494.769379187861","0.00383497561669466","1.37747177867283","35918.6580659426"
"EE002L1","Aug","31","16449.7070474412","547.440735398535","0.0042432332317834","1.52411243559409","35918.6580689914"
"EE002L1","Sep","30","15811.8554900816","543.753662838576","0.00421465459705132","1.51384737295389","35918.6580559417"
"EE002L1","Oct","31","17387.507846887","578.650391763752","0.00448514042370074","1.61100225110795","35918.6580334242"
"EE002L1","Nov","30","17435.0664457458","599.574220101759","0.00464732178507738","1.66925561921638","35918.6580231304"
"EE002L1","Dec","31","20076.4649022047","668.138002425681","0.00517876217824037","1.86014187543326","35918.6579999566"
"EE003L0","Jan","31","308871.408214691","10256.7473148406","4.75730394936949","206.100078735316","4332.28738228155"
"EE003L0","Feb","29","313264.951184702","11120.5307621777","5.1579456225314","223.748021359331","4337.92904643925"
"EE003L0","Mar","31","290453.056650601","9643.61834750266","4.47292131145763","192.835480145051","4311.17533078643"
"EE003L0","Apr","30","268909.640633075","9223.55688504625","4.27808760901959","182.951434066329","4276.47703335032"
"EE003L0","May","31","265954.44531829","8828.11993427774","4.0946752941919","175.225900659461","4279.36009744193"
"EE003L0","Jun","30","259353.429692446","8895.23864763424","4.12580642283592","176.105300391462","4268.38494934559"
"EE003L0","Jul","31","254092.898441716","8433.45709242863","3.91162202802812","166.818999844301","4264.70141156241"
"EE003L0","Aug","31","278371.228519957","9241.8490602059","4.28657192031814","184.409604046583","4302.02986149585"
"EE003L0","Sep","30","269073.992192768","9229.50067157103","4.2808444673335","183.259104121122","4280.91012227951"
"EE003L0","Oct","31","293981.675788926","9760.35705592237","4.52706728011242","194.908099343989","4305.39435983707"
"EE003L0","Nov","30","294118.378914844","10091.0419314508","4.68044616486586","201.917487334604","4314.06494642142"
"EE003L0","Dec","31","335098.451184025","11129.5549930827","5.16213125838713","224.824924428378","4355.27330040467"
"EL001L1","Jan","31","543636.170918934","18261.182728778","0.148595374221088","20.9681133031519","14110.8788971818"
"EL001L1","Feb","29","533068.898256616","19143.9232199451","0.155778433258024","21.7973848113574","13992.5561937403"
