"FUA","month","days","dailyS","meanDailyS","sdDailyS","cvDailyS"
"ES070L0","Jan","31","14.5463684525244","0.00348332577886121","0.00334887871853173","96.1402674092277"
"ES070L0","Feb","29","10.7506064571796","0.00257437894089549","0.00247551709187166","96.1597786769713"
"ES070L0","Mar","31","46.656453521618","0.0111725223950235","0.0107483144889505","96.2031142917022"
"ES070L0","Apr","30","64.0234241715746","0.0153312797345725","0.0147418332594644","96.1552689317981"
"ES070L0","May","31","119.207619417768","0.0285458858759022","0.0274191574870221","96.0529219734908"
"ES070L0","Jun","30","115.515485049126","0.0276617540826451","0.0265476164655167","95.9722813896774"
"ES070L0","Jul","31","112.389994782375","0.0269133129268141","0.0258281552893525","95.9679522160187"
"ES070L0","Aug","31","72.7430240392291","0.0174193065228039","0.0167138229776858","95.9499906371441"
"ES070L0","Sep","30","87.0870573258361","0.0208541803941178","0.0200232338748523","96.0154438891307"
"ES070L0","Oct","31","55.8108159780982","0.0133646589985867","0.0128352018028687","96.038378564137"
"ES070L0","Nov","30","29.4516967489502","0.00705260937474862","0.00677383596594724","96.0472302662967"
"ES070L0","Dec","31","15.3108686470125","0.00366639574880567","0.00352387957849961","96.1129081509413"
"ES073L0","Jan","31","67.1216921858397","0.0146553913069519","0.0126699301731498","86.4523499085265"
"ES073L0","Feb","29","71.4105001693816","0.0155918122640571","0.013479203595053","86.4505252293591"
"ES073L0","Mar","31","117.645200020899","0.0256867248953928","0.0222121732352918","86.4733566686653"
"ES073L0","Apr","30","149.924063153115","0.0327345116054835","0.028293145176124","86.4321591753473"
"ES073L0","May","31","160.675166522912","0.035081914087972","0.0303544621356732","86.5245324401508"
"ES073L0","Jun","30","124.525960196303","0.0271890742786687","0.023491507354346","86.4005413114647"
"ES073L0","Jul","31","115.007648882741","0.0251108403674107","0.0216883575577208","86.3704967272556"
"ES073L0","Aug","31","85.1738796680247","0.018596916958084","0.0160631054728614","86.3750992116939"
"ES073L0","Sep","30","87.8170578253881","0.0191740300928795","0.0165613632472622","86.3739295653474"
"ES073L0","Oct","31","80.9370533905373","0.0176718457184579","0.0152664536644424","86.3885635245043"
"ES073L0","Nov","30","69.011643162157","0.0150680443585496","0.0130210617120487","86.4150741941546"
"ES073L0","Dec","31","74.2635851599262","0.0162147565851367","0.0140211548466206","86.4715715774182"
"ES501L1","Jan","31","1532.3805140055","0.0102362060226684","0.0106417924644507","103.962273139913"
"ES501L1","Feb","29","1876.24833954917","0.0125332215972343","0.0133344469413812","106.392812398081"
"ES501L1","Mar","31","3139.42098681365","0.0209711359020831","0.0217550246632978","103.737941353653"
"ES501L1","Apr","30","4292.83406756724","0.02867586316527","0.0293923504162138","102.498572568904"
"ES501L1","May","31","3977.38835747563","0.0265687055448533","0.0271254206662386","102.09537916872"
"ES501L1","Jun","30","2760.56656746455","0.0184404120684062","0.0189375211467174","102.695759056073"
"ES501L1","Jul","31","2194.52663092999","0.0146593006835579","0.0149728064507783","102.138613389464"
"ES501L1","Aug","31","1146.93736050822","0.00766146985683705","0.00772840745640315","100.87369135188"
"ES501L1","Sep","30","2908.22357506255","0.0194267516470224","0.0197565696648481","101.697751759112"
"ES501L1","Oct","31","2908.36192411604","0.0194276758100496","0.0197610414159267","101.715931484222"
"ES501L1","Nov","30","2063.55193123105","0.0137843978786592","0.0139314055945454","101.066479052478"
"ES501L1","Dec","31","1555.98092547849","0.0103938552957108","0.0106533574382047","102.496688044147"
"ES505L1","Jan","31","434.366737022184","0.0113169385915842","0.0129772286651091","114.67084105908"
"ES505L1","Feb","29","465.473801538839","0.0121273982996936","0.0139472270182502","115.00592850655"
"ES505L1","Mar","31","720.14322165424","0.0187625246640154","0.0215254372310477","114.725697188989"
"ES505L1","Apr","30","852.142092034712","0.0222016073168337","0.025352803340799","114.193549048028"
"ES505L1","May","31","883.975586097646","0.0230309933327509","0.026268496875136","114.057159826368"
"ES505L1","Jun","30","717.489802475507","0.018693392800675","0.0213042927958608","113.966966954718"
"ES505L1","Jul","31","675.092417003701","0.0175887764317571","0.0200898194893855","114.219539757823"
"ES505L1","Aug","31","498.760765993679","0.0129946528579459","0.014839632121322","114.197988076673"
"ES505L1","Sep","30","502.056924819205","0.013080530582544","0.0149166479123357","114.037024860765"
"ES505L1","Oct","31","473.178591598862","0.0123281379708942","0.0140199419470213","113.723110336057"
"ES505L1","Nov","30","449.196290358498","0.0117033059861002","0.0132531124132485","113.242466948988"
"ES505L1","Dec","31","460.225469985709","0.0119906589022383","0.0136482619043717","113.824119388669"
"ES506L1","Jan","31","829.827414412923","0.0143249048734299","0.0163285817133486","113.98736576349"
"ES506L1","Feb","29","943.674411679039","0.0162901899166055","0.0186001401996789","114.180008304991"
"ES506L1","Mar","31","1345.98409629051","0.023235065274569","0.0265642789721532","114.328402602889"
"ES506L1","Apr","30","1446.31362761964","0.0249670049132497","0.0283256105509089","113.45217678023"
"ES506L1","May","31","1344.12248084048","0.0232029291173762","0.026190580277582","112.876181042024"
"ES506L1","Jun","30","1020.21054028168","0.0176113956788772","0.0198343581030395","112.622295612996"
"ES506L1","Jul","31","896.525797337534","0.0154762864426718","0.017417810929915","112.545157356935"
"ES506L1","Aug","31","568.335765063235","0.00981090239885438","0.0110626560254673","112.758802154215"
"ES506L1","Sep","30","714.263566261578","0.0123299826729544","0.0140299516183681","113.787277650783"
"ES506L1","Oct","31","763.578027724985","0.0131812741066648","0.0151732967077822","115.112519358885"
"ES506L1","Nov","30","865.606709332744","0.0149425453457292","0.0176490660941043","118.11284948952"
"ES506L1","Dec","31","911.670451535699","0.0157377212024323","0.0183898001266102","116.851734060253"
"ES508L1","Jan","31","599.59128959798","0.00477051158511206","0.0100918568053995","211.54663656817"
"ES508L1","Feb","29","755.409735907088","0.00601024557756242","0.0128226860899656","213.347124081511"
"ES508L1","Mar","31","1140.49157254977","0.00907406153818427","0.0194350124507146","214.182065758875"
"ES508L1","Apr","30","1499.51109693288","0.0119305186449902","0.025314903355144","212.18610949302"
"ES508L1","May","31","940.950563862017","0.00748645893260255","0.0162030215192146","216.431047910415"
"ES508L1","Jun","30","828.038631093502","0.00658810084649568","0.0146020543404729","221.642847926956"
"ES508L1","Jul","31","528.899901809473","0.00420807165267269","0.00991887755650459","235.710757211198"
"ES508L1","Aug","31","378.675533341267","0.00301284566694461","0.00709548279699794","235.507675512421"
"ES508L1","Sep","30","632.960586173009","0.00503600679603307","0.0106580641026384","211.637206507225"
"ES508L1","Oct","31","705.917854935044","0.00561647469455906","0.0117746733133653","209.645266002391"
"ES508L1","Nov","30","592.085002547908","0.00471078952117489","0.00989862810695067","210.126732736765"
"ES508L1","Dec","31","502.809180905822","0.00400048677194795","0.00845357432511735","211.313642739557"
"ES510L1","Jan","31","148.85639432559","0.00450520245530068","0.00524889301073243","116.507372594471"
"ES510L1","Feb","29","112.052618304144","0.00339132042928919","0.00394424979517183","116.30425014125"
"ES510L1","Mar","31","461.80522510527","0.0139767326989277","0.016283530302351","116.504555485992"
"ES510L1","Apr","30","632.909705107084","0.0191552829849909","0.0222219039573794","116.009270000299"
"ES510L1","May","31","1149.80015208292","0.0347991934893894","0.0402704378817682","115.7223310191"
"ES510L1","Jun","30","1137.5083515293","0.0344271768871795","0.0400503078390287","116.333407093694"
"ES510L1","Jul","31","1108.53944661693","0.0335504205870564","0.0390759703729793","116.469390515047"
"ES510L1","Aug","31","750.190083342151","0.0227048238050347","0.0264750868135757","116.605559421716"
"ES510L1","Sep","30","860.114123879834","0.0260317219176125","0.0301659854917404","115.881636978193"
"ES510L1","Oct","31","548.529776512985","0.0166014883482033","0.0191622619202026","115.424963824261"
"ES510L1","Nov","30","289.601918750648","0.00876492596321686","0.0101604499597269","115.92168607432"
"ES510L1","Dec","31","161.185630371665","0.00487835205870478","0.00568452272069475","116.525471148632"
"ES514L1","Jan","31","1107.4736732928","0.0285453430237595","0.014352587475267","50.2799614750495"
"ES514L1","Feb","29","1334.5804550627","0.034399063202379","0.0172265181720006","50.0784514701818"
"ES514L1","Mar","31","1898.12221083741","0.0489244583559918","0.0247277883761943","50.5427943550566"
"ES514L1","Apr","30","2018.6514710413","0.052031122794064","0.0266139701812152","51.15009777235"
"ES514L1","May","31","1640.56875852267","0.0422859694956484","0.0213810953555866","50.5630960117561"
"ES514L1","Jun","30","1149.42102003782","0.0296265438059081","0.0148563204094076","50.1453038421747"
"ES514L1","Jul","31","1068.11141729416","0.0275307734436724","0.0138354108395696","50.2543485306603"
"ES514L1","Aug","31","579.792612208403","0.0149442640464057","0.00751825294767343","50.3086195768982"
"ES514L1","Sep","30","1123.90415180142","0.0289688417094471","0.0145494204170028","50.2243774981796"
"ES514L1","Oct","31","1098.03758429076","0.0283021260481676","0.0141442653371805","49.9759817093185"
"ES514L1","Nov","30","1041.79303134598","0.0268524120768611","0.0136380602905304","50.7889579956299"
"ES514L1","Dec","31","1079.10818279418","0.0278142171506605","0.0141340523684794","50.815927307678"
